"export-plot data (NetLogo 7.0.2)"
"null"
"12/15/2025 19:55:02:923 +0000"

"MODEL SETTINGS"
"num-people","recovery-time","infection-probability"
"50","200","0.3"

"""Epidemic"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","480","0","50","true","""Susceptible""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""Susceptible""","true","0","1","96","474"
"""Infected""","true","0","1","15","474"
"""Recovered""","true","0","1","6","474"

"""Susceptible""",,,,"""Infected""",,,,"""Recovered"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","96","true","0","0","15","true","0","0","6","true"
"1","49","96","true","1","1","15","true","1","0","6","true"
"2","49","96","true","2","1","15","true","2","0","6","true"
"3","49","96","true","3","1","15","true","3","0","6","true"
"4","49","96","true","4","1","15","true","4","0","6","true"
"5","49","96","true","5","1","15","true","5","0","6","true"
"6","49","96","true","6","1","15","true","6","0","6","true"
"7","48","96","true","7","2","15","true","7","0","6","true"
"8","48","96","true","8","2","15","true","8","0","6","true"
"9","48","96","true","9","2","15","true","9","0","6","true"
"10","48","96","true","10","2","15","true","10","0","6","true"
"11","48","96","true","11","2","15","true","11","0","6","true"
"12","48","96","true","12","2","15","true","12","0","6","true"
"13","48","96","true","13","2","15","true","13","0","6","true"
"14","48","96","true","14","2","15","true","14","0","6","true"
"15","47","96","true","15","3","15","true","15","0","6","true"
"16","47","96","true","16","3","15","true","16","0","6","true"
"17","47","96","true","17","3","15","true","17","0","6","true"
"18","47","96","true","18","3","15","true","18","0","6","true"
"19","47","96","true","19","3","15","true","19","0","6","true"
"20","47","96","true","20","3","15","true","20","0","6","true"
"21","46","96","true","21","4","15","true","21","0","6","true"
"22","46","96","true","22","4","15","true","22","0","6","true"
"23","46","96","true","23","4","15","true","23","0","6","true"
"24","46","96","true","24","4","15","true","24","0","6","true"
"25","46","96","true","25","4","15","true","25","0","6","true"
"26","46","96","true","26","4","15","true","26","0","6","true"
"27","46","96","true","27","4","15","true","27","0","6","true"
"28","46","96","true","28","4","15","true","28","0","6","true"
"29","46","96","true","29","4","15","true","29","0","6","true"
"30","46","96","true","30","4","15","true","30","0","6","true"
"31","46","96","true","31","4","15","true","31","0","6","true"
"32","45","96","true","32","5","15","true","32","0","6","true"
"33","44","96","true","33","6","15","true","33","0","6","true"
"34","44","96","true","34","6","15","true","34","0","6","true"
"35","44","96","true","35","6","15","true","35","0","6","true"
"36","44","96","true","36","6","15","true","36","0","6","true"
"37","44","96","true","37","6","15","true","37","0","6","true"
"38","44","96","true","38","6","15","true","38","0","6","true"
"39","44","96","true","39","6","15","true","39","0","6","true"
"40","44","96","true","40","6","15","true","40","0","6","true"
"41","44","96","true","41","6","15","true","41","0","6","true"
"42","44","96","true","42","6","15","true","42","0","6","true"
"43","44","96","true","43","6","15","true","43","0","6","true"
"44","43","96","true","44","7","15","true","44","0","6","true"
"45","43","96","true","45","7","15","true","45","0","6","true"
"46","42","96","true","46","8","15","true","46","0","6","true"
"47","42","96","true","47","8","15","true","47","0","6","true"
"48","42","96","true","48","8","15","true","48","0","6","true"
"49","42","96","true","49","8","15","true","49","0","6","true"
"50","42","96","true","50","8","15","true","50","0","6","true"
"51","42","96","true","51","8","15","true","51","0","6","true"
"52","42","96","true","52","8","15","true","52","0","6","true"
"53","42","96","true","53","8","15","true","53","0","6","true"
"54","42","96","true","54","8","15","true","54","0","6","true"
"55","40","96","true","55","10","15","true","55","0","6","true"
"56","40","96","true","56","10","15","true","56","0","6","true"
"57","40","96","true","57","10","15","true","57","0","6","true"
"58","40","96","true","58","10","15","true","58","0","6","true"
"59","39","96","true","59","11","15","true","59","0","6","true"
"60","39","96","true","60","11","15","true","60","0","6","true"
"61","39","96","true","61","11","15","true","61","0","6","true"
"62","39","96","true","62","11","15","true","62","0","6","true"
"63","39","96","true","63","11","15","true","63","0","6","true"
"64","38","96","true","64","12","15","true","64","0","6","true"
"65","38","96","true","65","12","15","true","65","0","6","true"
"66","35","96","true","66","15","15","true","66","0","6","true"
